term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1961-04-05T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1961-05-05T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1961-06-05T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1961-07-07T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1961-08-07T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1961-09-07T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1961-10-08T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1961-11-07T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1961-12-07T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1961-01-05T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1961-02-04T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1961-03-05T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
