term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1935-04-05T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1935-05-06T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1935-06-06T06:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1935-07-07T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1935-08-08T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1935-09-08T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1935-10-08T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1935-11-07T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1935-12-07T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1935-01-05T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1935-02-04T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1935-03-06T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
